virus,reference,hi
a/brisbane/10/2007,a/brisbane/10/2007,2440.5026072233854
a/brisbane/10/2007,a/perth/16/2009,50.39684199579491
a/brisbane/10/2007,a/victoria/208/2009,148.13995396596638
a/brisbane/10/2007,a/victoria/210/2009,193.972170690167
a/brisbane/10/2007,a/alabama/5/2010,47.08586775635669
a/brisbane/10/2007,a/perth/10/2010,100.79368399158969
a/brisbane/10/2007,a/hong_kong/3969/2011,226.27416997969513
a/brisbane/10/2007,a/stockholm/18/2011,44.89848193237493
a/brisbane/10/2007,a/iowa/19/2010,47.56828460010884
a/brisbane/10/2007,a/wisconsin/67/2005,2050.738886629433
a/brisbane/10/2007,a/uruguay/716/2007,3044.3702144069675
a/brisbane/10/2007,a/hong_kong/1985/2009,65.62682848061101
a/brisbane/10/2007,a/wisconsin/15/2009,45.55154539026766
a/brisbane/10/2007,a/hong_kong/34430/2009,159.99999999999994
a/brisbane/10/2007,a/rhode_island/01/2010,79.99999999999997
a/brisbane/10/2007,a/rhode_island/1/2010_(x_199),79.99999999999997
a/brisbane/10/2007,a/finland/9/2008,1522.1851072034835
a/brisbane/10/2007,a/johannesburg/15/2008,1159.3262902578022
a/brisbane/10/2007,a/hong_kong/1952/2009,40.0
a/brisbane/10/2007,a/hong_kong/26560/2009,319.99999999999994
a/brisbane/10/2007,a/philippines/2191/2009,319.99999999999994
a/brisbane/10/2007,a/nepal/921/2006,3620.3867196751203
a/brisbane/10/2007,a/trieste/25c/2007,2194.544596103867
a/brisbane/10/2007,a/sofia/319/2007,905.0966799187808
a/brisbane/10/2007,a/serres/77/2007,319.99999999999994
a/brisbane/10/2007,a/prague/3/2007,639.9999999999999
a/brisbane/10/2007,a/trieste/25e/2007,1810.1933598375617
a/brisbane/10/2007,a/wisconsin/3/2007,639.9999999999993
a/brisbane/10/2007,a/england/394/2008,319.99999999999994
a/brisbane/10/2007,a/brisbane/24/2008,3225.3978877308714
a/brisbane/10/2007,a/hong_kong/1050/2008,2560.0
a/brisbane/10/2007,a/parma/1/2007,319.99999999999994
a/brisbane/10/2007,a/perth/15/2009,113.13708498984757
a/brisbane/10/2007,a/niigata/403/2009,40.0
a/brisbane/10/2007,a/alaska/5/2010,79.99999999999997
a/brisbane/10/2007,a/guadeloupe/202/2010,40.0
a/brisbane/10/2007,a/montana/05/2011,159.99999999999994
a/brisbane/10/2007,a/south_australia/3/2011,159.99999999999994
a/perth/16/2009,a/brisbane/10/2007,56.568542494923776
a/perth/16/2009,a/perth/16/2009,730.5138368624827
a/perth/16/2009,a/victoria/208/2009,94.24157409472049
a/perth/16/2009,a/victoria/210/2009,940.6300750563832
a/perth/16/2009,a/alabama/5/2010,188.60396954392706
a/perth/16/2009,a/perth/10/2010,701.9679870045616
a/perth/16/2009,a/hong_kong/3969/2011,639.9999999999999
a/perth/16/2009,a/stockholm/18/2011,161.6892115191156
a/perth/16/2009,a/iowa/19/2010,186.43337349726838
a/perth/16/2009,a/finland/190/2011,183.79173679952555
a/perth/16/2009,a/england/259/2011,159.99999999999994
a/perth/16/2009,a/norway/1789/2011,422.2425314473265
a/perth/16/2009,a/brisbane/299/2011,226.27416997969513
a/perth/16/2009,a/victoria/361/2011,181.91406481568396
a/perth/16/2009,a/berlin/93/2011,361.26860953796216
a/perth/16/2009,a/athens/gr112/2012,639.9999999999999
a/perth/16/2009,a/glasgow/407664/2012,159.99999999999994
a/perth/16/2009,a/athens/112/2012,411.18112291674197
a/perth/16/2009,a/texas/50/2012,220.44786373857423
a/perth/16/2009,a/hawaii/22/2012,104.17609656745846
a/perth/16/2009,a/ohio/2/2012,79.99999999999997
a/perth/16/2009,a/south_australia/30/2012,79.99999999999997
